Year,CPI
1984,103.7545455
1985,107.4090909
1986,109.5272727
1987,113.4636364
1988,118.0545455
1989,123.7727273
1990,130.3727273
1991,136.0363636
1992,140.1727273
1993,144.3363636
1994,148.0909091
1995,152.2818182
1996,156.6909091
1997,160.4454545
1998,162.9272727
1999,166.4181818
2000,172.0363636
2001,177.1
2002,179.7818182
2003,183.9272727
2004,188.7545455
2005,195.1545455
2006,201.5727273
2007,207.0975455
2008,215.7638182
2009,214.4086364
2010,217.9533636
2011,224.8725455
2012,229.5932727
2013,232.9487273
2014,236.9110909
2015,237.0617273
2016,238.7823333
